Авторы,Идентификаторы авторов,Ссылка,Пристатейные ссылки
"Akopov A.S.","47561181900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871585490&doi=10.1504%2fIJCAT.2012.051122&partnerID=40&md5=b6b21b687cfbbd37377c572208c01d78","Akopov, A.S., On the issue of developing of intelligent control systems of complex organizational structures (part I): Mathematical support for control system of the vertically Integrated oil company investment activities (2010) Problemy Upravleniya, (6), pp. 12-18; Akopov, A.S., On the issue of developing of intelligent control systems of complex organizational structures (part II): Software support for control system of the vertically integrated oil company investment activities (2011) Problemy Upravleniya, (1), pp. 47-54; Akopov, A.S., Beklaryan, G.L., (2009) Hybrid Intelligent Systems of the Management of Vertical-Integrated Organizational Structures, , Working Paper #WP/2009/267, CEMI Russian Academy of Sciences, Moscow; Akopov, A.S., Beklaryan, L.A., Model of adaptive control of complex organizational structures (2011) International Journal of Pure and Applied Mathematics, 71 (1), pp. 105-127; Forrestter, J.W., (1961) Industrial Dynamics, , Productivity Press, Portland, Oregon; Goldberg, D.E., (1989) Genetic Algorithms in Search, Optimization, and Machine Learning, , Addison-Wesley, Reading, MA; Holland, J.H., (1975) Adaptation in Natural and Artificial Systems, , University of Michigan Press, Ann Arbor; Jagadeeswari, M., Bhuvaneswari, M.C., Efficient multiobjective genetic algorithm for hardware-software partitioning in embedded system design: ENGA (2009) International Journal of Computer Applications in Technology, 36 (3-4), pp. 181-190; John, S., (2000) Business Dynamics, , Irwin McGraw-Hill, New York; Kang, X., Yue, Y., Li, D., Maple, C., Genetic algorithm based solution to dead-end problems in robot navigation (2011) International Journal of Computer Applications in Technology, 41 (3-4), pp. 177-184; Kogilavani, A., Balasubramanie, P., Multi-document summarisation using genetic algorithm-based sentence extraction (2011) International Journal of Computer Applications in Technology, 40 (4), pp. 246-253; Lau, H.C.W., Ho, G.T.S., Cheng, E.N.M., Ning, A., Lee, C.K.M., Benchmarking of optimisation techniques based on genetic algorithms, tabu search and simulated annealing (2007) International Journal of Computer Applications in Technology, 28 (2-3), pp. 209-219; Lo Storto, C., D'Avino, G., Dondo, P., Zezza, V., Simulating information ambiguity during new product development: A forecasting model using system dynamics (2008) International Journal of Modelling, Identification and Control, 3 (1), pp. 97-110; Meadows, D.H., Meadows, D.L., Randers, J., Behrens Iii, W.W., (1972) The Limits of Growth, , Universe Books, New York; Wang, H., Application of Monte Carlo method on NIRS physiological inspection analysis (2011) International Journal of Computer Applications in Technology, 41 (1-2), pp. 97-102; Yu, T., Gong, X., Xiao, R., Modelling and simulation of new product diffusion with negative appraise based on system dynamics: A comparative perspective (2010) International Journal of Computer Applications in Technology, 37 (3-4), pp. 268-278; Zhang, Z., Wang, R., Gao, S., Modelling financial investment planning from agent perspectives (2008) International Journal of Modelling, Identification and Control, 3 (1), pp. 41-49"
"Khalili A., Auer S., Hladky D.","12752012400;23391879500;36623672100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871168944&doi=10.1109%2fCOMPSAC.2012.72&partnerID=40&md5=3fb31a6bf66dc18020f6a198a1f907c9","Tunkelang, (2009) Faceted Search (Synthesis: Lectures on Infor-mation Concepts, Retrieval, and Services), , Morgan and Claypool Publishers, Jun; Lopez, V., Uren, V., Sabou, M., Motta, E., Is question answering fit lor the semantic web? (2011) A Survey, Semantic Web ? Interoperability, 2 (2), pp. 125-155. , Usability, Applicability, . September; Burel, G., Canol, A.E., Lanfranchi, V., Ozone browser: Augmenting the web with semantic overlays (2009) Ser. CEUR Workshop Proceedings, 449. , ISSN 1613-0073. June; Krotzsch, A., Ankolckar, M., Tran, T., Vrandecic, D., The two cultures: Mashing up web 2.0 and the semantic web (2007) WWW '07: Proceedings of the 16th International Conference on World Wide Web, pp. 825-834. , New York. NY. USA: ACM Press; Gibbins, M., Sah, W., Hall, N.M., Roure, D.C.D., Semport ? a personalized semantic portal (2007) 18th ACM Conference on Hypertext and H\permedia. Sheridan Print-ing, pp. 31-32; Mliller, W., Rojas, I., Hberhart, A., Haase, P., Schmidt, M., A-r-e: The author-review-execute environment (2011) Procedia Computer Science, 4, pp. 627-636. , proceedings of the International Conference on Computational Science, ICCS 2011; Araujo, S., Houben, G.-J., Schwabe, I., Linkator: En-riching web pages by automatically adding dereferenceable semantic annotations (2010) Web Engineering, 6189, pp. 355-369. , Springer, Ser. Lecture Notes in Computer Science; Uren, V., Cimiano, P., Iria, J., Handschuh, S., Vargas-Vera, M., Motta, E., Ciravegna, F., Semantic annotation lor knowledge management: Requirements and a survey of the state of the art (2006) Web Semantics: Science, Services and Agents on the World Wide Web, 4 (1), pp. 14-28; Siorpaes, K., Simperl, E., Human intelligence in the process of semantic content creation (2010) World Wide Web- Internet And Web Information Systems, 13 (1-2), pp. 33-59. , SI. MAR; Dietzold, S., Auer, S., Riechert, T., Ontowiki - A tool for social, semantic collaboration (2006) The Semantic Web - ISWC 2006, 4273, pp. 736-749. , ser. LNCS. Springer; Iorio, A.D., Musetti, A., Pcroni, S., Vitali, F., Ontology- driven generation of wiki content and interfaces (2010) New Re-view Of Hypermedia And Multimedia, 16 (1-2), pp. 9-31. , SI; Thorisson, K., Spivack, N., Wissner, J., The semantic web: From representation to realization (2010) Transactions on Computational Collective Intelligence, 6450, pp. 90-107. , Springer, Ser. Lecture Notes in Computer Science; Khalili, A., Auer, S., (2012) User Interfaces for Semantic Content Authoring: A Systematic Literature Review, , http://svn.aksw.org/papers/201l/journal_SemanticContentAuthoring/public. pdf, [Online]. Available; Lauesen, S., (2005) User Interface Design: A Software Engineering Perspective, , Addison Wesley, Feb; Karger, D.R., Quan, D., What would it mean to blog on the semantic web? (2005) Web Semantics: Science, 3 (2-3), pp. 147-157. , Services and Agents on the World Wide Web; O'donoghue, S.I., Horn, H., Pafilis, H., Haag, S., Kuhn, M., Satagopam, V.P., Schneider, R., Jensen, L.J., Reflect: A practical approach to web semantics (2010) Web Semantics: Science, Services and Agents on the World Wide Web, 8 (2-3), pp. 182-189; Navarro-Galindo, J.L., Samos, J., Manual and automatic semantic annotation of web documents: The flersa tool (2010) Proceedings of the 12th International Conference on Infor-mation Integration and Web-based Applications Services, pp. 542-549. , ser. iiWAS '10. New York, NY, USA: ACM; Luczak-Roescht, R.H.M., Linked data authoring for non-experts (2009) Proceedings of the WWW09, Workshop Linked Data on the Web (LDOW2009); Treviranus, J., Authoring tools (2008) Human-Computer Interaction Series, pp. 127-138. , Web Accessibility, ser., S. Harper and Y. Yesi- lada, Eds. Springer, 10.1007/978-1- 84800-050-69; Makhoul, J., Kubala, F., Schwartz, R., Weischedel, R., Performance measures for information extraction (1999) Proceedings of DARPA Broadcast News Workshop, pp. 249-252; (2011) Usage of Content Management Systems for Websites, , http://w3techs.com/technologies/overview/content_managemcnt/all, (June), [Online]. Available; Benson, E., Marcus, A., Howahl, F., Karger, D., Talking about data: Sharing richly structured information through blogs and wikis (2010) The Semantic Web - ISWC 2010, Lecture Notes in Computer Science, 6496, pp. 48-63. , ser. Springer; Tramp, S., Heino, N., Auer, S., Frischmuth, P., Rdfauthor: Employing rdfa for collaborative knowledge engineering (2010) Knowledge Engineering and Management by the Masses, 6317, pp. 90-104. , ser. LNCS. Springer; Frosterus, M., Hyvonen, E., Laitio, J., Datafinland-a semantic portal for open and linked datasets (2011) The Semanic Web: Research and Applications, 6644, pp. 243-254. , ser. LNCS. Springer; Rizzo, G., Troncy, R., (2011) Nerd : A Framework for Evaluating Named Entity Recognition Tools in the Web of Data"
"Dworzański L.W., Lomazova I.A.","55516172000;6701413146;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870821804&doi=10.3233%2fFI-2012-762&partnerID=40&md5=5d6f51b375ff6870feeb810140f87f8c","Bednarczyk, M.A., Bernardinello, L., Pawlowski, W., Pomello, L., Modelling mobility with petri hypernets (2005) Recent Trends in Algebraic Development Techniques, 3423, pp. 28-44. , Lecture Notes in Computer Science Springer; Bernardinello, L., Monticelli, E., Pomello, L., (2007) On Preserving Structural and Behavioural Properties by Composing Net Systems on Interfaces Fundam Inform, 80 (1-3), pp. 31-47; Drabik, P., Maggiolo-Schettini, A., Milazzo, P., On conditions for modular verification in systems of synchronising components (2011) Marcin Szczuka, Ludwik Czaja, Andrzej Skowron, and Magdalena Kacprzak, pp. 322-333. , Editors, Proceedings of the InternationalWorkshop on Concurrency, Specification, and Programming (CS & P 2011), Pultusk, Poland Bialystok University of Technology; Desel, J., Esparza, J., (1995) Free Choice Petri Nets Cambridge, , University Press New York, NY, USA; Esparza, J., (2004) A Polynomial-Time Algorithm for Checking Consistency of Free-Choice Signal Transition Graphs Fundam Inform, 62 (2), pp. 197-220; Esparza, J., Nielsen, M., Decidability issues for Petri nets - A survey (1994) Journal of Informatics Processing and Cybernetics, 30 (3), pp. 143-160; Hoffmann, K., Ehrig, H., Mossakowski, T., High-level nets with nets and rules as tokens (2005) Gianfranco Ciardo and Philippe Darondeau, Editors, Applications and Theory of Petri Nets, 3536, pp. 268-288. , Lecture Notes in Computer Science Springer; Jensen, K., Kristensen, L.M., (2009) Coloured Petri Nets: Modelling and Validation of Concurrent Systems, , Springer; Köhler, M., Farwer, B., Object nets for mobility (2007) Jetty Kleijn and Alexandre Yakovlev, Editors, Applications and Theory of Petri Nets, 4546, pp. 244-262. , Lecture Notes in Computer Science Springer; Köhler-Bussmeier, M., Hornets: Nets within nets combined with net algebra (2009) Giuliana Franceschinis and Karsten Wolf, Editors, Applications and Theory of Petri Nets, 5606, pp. 243-262. , Lecture Notes in Computer Science Springer; Köhler-Bussmeier, M., Heitmann, F., Liveness and reachability for elementary object systems (2011) Marcin Szczuka, Ludwik Czaja, Andrzej Skowron, and Magdalena Kacprzak, pp. 322-333. , editors, Proceedings of the International Workshop on Concurrency, Specification, and Programming (CS & P Pultusk, Poland Bialystok University of Technology 2011; Köhler-Bussmeier, M., Heitmann, F., (2011) Liveness of Safe Object Nets Fundam Inform, 112 (1), pp. 73-97; Lomazova, I.A., Nested Petri nets - A Formalism for Specification and Verification of Multi-Agent Distributed Systems (2000) Fundam Inform, 43 (1-4), pp. 195-214; Lomazova, I.A., Nested Petri nets for adaptive process modeling (2008) Pillars of Computer Science: Essays Dedicated to Boris (Boaz) Trakhtenbrot on the Occasion of His 85th Birthday, 4800, pp. 413-426. , Lecture Notes in Computer Science Springer; Murata, T., Petri nets: Properties, analysis and applications, an invited survey paper (1989) Proceedings of the IEEE, 77 (4), pp. 541-580. , April; Valk, R., Object Petri nets: Using the nets-within-nets paradigm (2004) Lectures on Concurrency and Petri Nets, Volume, 3098, pp. 819-848. , Lecture Notes in Computer Science Springer"
"Bashkin V.A., Lomazova I.A.","35864818900;6701413146;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870840180&doi=10.3233%2fFI-2012-760&partnerID=40&md5=d3bc4428487d1d2dd090050239f26a61","Bashkin, V.A., Nets of active resources for distributed systems modeling (2008) Joint Bulletin of NCC & IIS Comp Science, 28, pp. 43-54. , Novosibirsk; Bashkin, I.A.V.A., (2011) Resource Driven Automata Nets Fundamenta Informaticae, 109 (3), pp. 223-236; Chang, L., He, X., Lian, J., Shatz, S., Applying a nested petri net modeling paradigm to coordination of sensor networks with mobile agents (2008) Proc of Workshop on Petri Nets and Distributed Systems, pp. 132-145. , Xian, China; Christensen, S., (1993) Decidability and Decomposition, , Process Algebras PhD thesis Edinburgh University; Christensen, S., Hirshfeld, Y., Moller, F., (1993) Bisimulation Equivalence Is Decidable for Basic Parallel Processes, 715. , E Best (Ed.), Proc of CONCUR'93 Lecture Notes in Computer Science Springer; Cook, M., Universality in elementary cellular automata (2004) Complex Systems, 15, pp. 1-40; Esparza, J., Petri nets, commutative context-free grammars, and basic parallel processes (1997) Fundamenta Informaticae, 31, pp. 13-26; Goldin, D., Keil, D., Indirect interaction in environments for multi-agent systems (2005) Lecture Notes in Computer Science, 3830, pp. 68-87. , D Weyns, H Parunak, F Michel (Eds.), Environments for Multi-Agent Systems II Springer; Jancar, P., Decidability questions for bisimilarity of Petri nets and some related problems (1994) Lecture Notes in Computer Science, 775, pp. 581-592. , P Enjalbert, E.W Mayr, K.W Wagner (Eds.), Proc of STACS'94 Springer; Köhler-Bubmeier, M., Hornets: Nets within nets combined with net algebra (2009) Lecture Notes in Computer Science, 5606, pp. 243-262. , In G Franceschinis, K Wolf (Eds.), Proc of ICATPN'2009 Springer; Lomazova, I.A., Nested petri nets - A formalism for specification and verification of multi-agent distributed systems (2000) Fundamenta Informaticae, 43, pp. 195-214; Lomazova, I.A., Nested Petri nets for adaptive process modeling (2008) Lecture Notes in Computer Science, 4800, pp. 413-426. , In A Avron, N Dershowitz, A Rabinovich (Eds.), Pillars of Computer Science: Essays Dedicated to Boris (Boaz) Trakhtenbrot on the Occasion of His 85th Birthday Springer; Minsky, M., (1967) Finite and Infinite Machines, , Prentice Hall; Nehaniv, C.L., Asynchronous automata networks can emulate any synchronous automata network (2004) Int.J of Algebra and Computation, 14 (5-6), pp. 719-739; Pawlowski, W., Petri Hypernets with Constraints, pp. 467-479. , In L Czaja and M Szczuka (Eds.), Proc of the International Workshop on Concurrency, Specification, and Programming, CS & P'2009; Valk, R., (1998) Petri Nets As Token Objects: An Introduction to Elementary Object Nets, 1420, pp. 1-25. , J Desel, M Silva (Eds.), Proc of ICATPN'98 Lecture Notes in Computer Science Springer; Wolfram, S., (1984) Physica D, 10, pp. 1-35. , Universality and Complexity in Cellular Automata"
"Osipov D.","24481886700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870578478&doi=10.1109%2fRED.2012.6338407&partnerID=40&md5=f833d0ed46361a41078c8ff635076820","Zyablov, V.V., Osipov, D.S., On the optimum choice of a threshold in a frequency hopping OFDMA system (2008) Problems of Information Transmission, 44 (2), pp. 91-99; Krouk, E., Semenov, S., Modulation and Coding Techniques in Wireless Communications, , John Whiley and Sons, Chichester, West Sussex, UK,201; Osipov, D.S., Frolov, A.A., Zyablov, V.V., A jamming-proof q-ary code-based signal-code construction Proc. of ITAS 2011, Gelendzhik, Russia,2011, , in Russian; Bassalygo, L.A., A model of restricted asynchronous multiple access in the presence of errors (2009) Problems of Information Transmission, 45 (1), pp. 37-45; Zigangirov, K.Sh., (2004) Theory of Code Division Multiple Access Communication, , Whiley and Sons, Piscataway, New Jersey"
"Meissner D.","55337583500;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870064079&doi=10.1016%2fj.futures.2012.07.010&partnerID=40&md5=059f9be65f45d05454afec8b97b98e6f","Zweck, A., Three perspectives for one future in economy and society (2002) Futures Research Quarterly, 18 (1), pp. 22-33; Technology futures analysis: toward integration of the field and new methods (2004) Technological Forecasting and Social Change, 71, pp. 287-303. , TFAMWG (Technology Futures Analysis Methods Working Group); Gavigan, J., Scapolo, F., Keenan, M., Miles, I., Farhi, F., Lecoq, D., Capriati, M., Di Bartolomeo, T., (2001), FOREN (Foresight for Regional Development Network), A Practical Guide to Regional Foresight, Report; (2002) A Trans-National Analysis of Results and Implications of Industrially-Oriented Technology Foresight Studies (France, Spain, Italy & Portugal), JRC/IPTS-ESTO Study, , J. Molas-Gallart, R. Barrè, M. Zappacosta, J. Gavigan (Eds.); Keenan, M., Identifying emerging generic technologies at the national level: the UK experience (2003) Journal of Forecasting, 22, pp. 129-160; Cuhls, K., From forecasting to foresight processes-new participative foresight activities in Germany (2003) Journal of Forecasting, 22, pp. 93-111; Cachia, R., Compañó, R., Da Costa, O., Grasping the potential of online social networks for foresight (2007) Technological Forecasting and Social Change, 74, pp. 1179-1203; Santo de Miranda, M., Coelho Massari, G., Maria dos Santos, D., Fellows Filho, L., Text mining as a valuable tool in foresight exercises: a study on nanotechnology (2006) Technological Forecasting and Social Change, 73, pp. 1013-1027; Bezold, C., Lessons from using scenarios for strategic foresight (2010) Technological Forecasting and Social Change, 77, pp. 1513-1518; Rappert, B., Rationalising the future? Foresight in science and technology policy co-ordination (1999) Futures, 31, pp. 527-545; Lempert, R.J., Popper, S.C., (2003) Bankes, Shaping the Next One Hundred Years: New Methods for Quantitative Long-Term Policy Analysis, , The RAND Pardee Center, Santa Monica, CA; Tran, T., Daim, T., A taxonomic review of methods and tools applied in technology assessment (2008) Technological Forecasting and Social Change, 75 (9), pp. 1396-1405; Godwin, P., Wright, G., The limits of forecasting methods in anticipating rare events (2010) Technological Forecasting and Social Change, 77 (3), pp. 355-368; Höjer, M., Mattsson, L.G., Determinism and backcasting in future studies (2000) Futures, 32 (7), pp. 613-634; Bishop, P., Hines, A., Collins, T., The current state of scenario development: an overview of techniques (2007) Foresight, 9 (1), pp. 5-25; Bradfield, R., Wright, G., Burt, G., Cairns, G., Van Der Heijden, K., The origins and evolution of scenario techniques in long range business planning (2005) Futures, 37 (8), pp. 795-812; van Notten, P.W.F., Rotmans, J., van Asselt, M.B.A., Rothman, D.S., An updated scenario typology (2003) Futures, 35, pp. 423-443; Ringland, G., (1998) Scenario Planning: Managing for the Future, , Wiley, Chichester, New York; Voros, J., Introducing a classification framework for prospective methods (2006) Foresight, 8 (2), pp. 43-56; Popper, R., Foresight methodology (2008) The Handbook of Technology Foresight, , Edward Elgar, Aldershot, L. Georghiou, J. Cassingena, M. Keenan, I. Miles, R. Popper (Eds.); Keenan, M., Popper, R., (2007) Practical Guide for Integrating Foresight in Research Infrastructures Policy Formulation, , European Commission, Brussels, RIF (Research Infrastructures Foresight); Salerno, M., Landoni, P., Verganti, R., Designing foresight studies for Nanoscience and Nanotechnology (NST) future developments (2008) Technological Forecasting and Social Change, 75, pp. 1202-1223; Georghiou, L., Keenan, M., Evaluation of national foresight activities: assessing rationale, process and impact (2006) Technological Forecasting and Social Change, 73, pp. 761-777; Saritas, O., Oner, M.A., Systemic analysis of UK foresight results-Joint application of integrated management model and roadmapping (2004) Technological Forecasting and Social Change, 71, pp. 27-65; Meissner, D., (2008), Foresight-Studien - Bestandsaufnahme in OECD- und ERA-Ländern, CEST 2007, Bern; Johnston, R., (2002) The State and Contribution of International Foresight: New Challenges, , The Role of Foresight in the Selection of Research Policy Priorities, Seville; Cuhls, K., Wie kann ein Foresight-Prozess in Deutschland organisiert werden? (2000), Gutachten, Friedrich-Ebert-Stiftung, Bonn; Cuhls, K., Was kommt nach Delphi'98? (2000) Zukünfte, 9 (33), pp. 24-26; Martin, B.R., Foresight in science and technology (1995) Technology Analysis and Strategic Management, 7 (2), pp. 139-168; Ulrich, H., (1984) Management, , Verlag Paul Haupt, Bern/Stuttgart; Bleicher, K., (1991) Das Konzept integriertes Management, , Campus, Frankfurt/New York; Alsan, A., Oner, M.A., Comparison of national foresight studies by integrated foresight management model (2004) Futures, 36, pp. 889-902; (2006), http://www.tekes.fi/julkaisut/Finnsight_2015_EN.pdf, Academy of Finland, TEKES, FinnSight 2015, The Outlook for Science, Technology and Society; Conway, M., Chris, S., Creating and Sustaining Social Foresight in Australia (2004), Australian Foresight Institute, Monograph Series 2004, Swinburne University of Technology; Department of Enterprise (2006) Trade and Employment Ireland, , http://www.entemp.ie/science/technology/sciencestrategy.htm, Strategy for Science, Technology and Innovation 2006-2013; (2001) Monitoring Foresight Activities, , European Science and Technology Observatory; (2006) Mapping Report 2005, , The European Foresight Monitoring Network, EFMN; (2005) D4 Benchmarking Report, , Foresight and Society ERA-NET, Budapest, ForSociety; (2007) Foresight in the Nordic Research and Innovation Council Systems, , Technical University of Denmark, Roskilde, Riso National Laboratory; (1996), OECD, Special Issue on Government Technology Foresight Exercises, Science Technology Industry Review No. 17; (2006) Evaluation of the United Kingdom Foresight Program, , Manchester Business School, University of Manchester, PREST; (2007) International Futures Programms, , Organisation for Economic Co-operation and Development, Paris, OECD; Hollanders, H., Arundel, A., (2006), Global Innovation Scoreboard (GIS) Report, 2006; Reger, G., Technology foresight in companies: from an indicator to a network and process perspective (2001) Technology Analysis and Strategic Management, 13 (4), pp. 533-553; King, D.A., Thomas, S.M., Taking science out of the box-foresight recast (2007) Science, 316, pp. 1701-1702; Van der Meulen, B., The impact of foresight on environmental science and technology policy in the Netherlands (1999) Futures, 31 (1), pp. 7-23; Technology foresight and sustainable development (1999) Proceedings of the Budapest Workshop 11 December 1998, , Organisation for Economic Co-operation and Development, Paris, OECD; Coates, J.F., Foresight in federal government policy making (1985) Futures Research Quarterly, (1), pp. 29-53; Godet, M., Durance, P., Gerber, A., (2006), Strategic Foresight: Problems and Methods, LIPSOR Working Paper Nr. 20, Paris"
"Karaganov S.","26025142400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895171741&partnerID=40&md5=bcd0af1e8abe445f8d64d3de7d4538f5",
"Larionova M.","56153880200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900225568&partnerID=40&md5=913ba40650895af148760083bd2fcb84","Bayne, N., (2005) Staying Together: The G8 Summit Confronts the 21st Century, , Aldershot, Ashgate; Emerson, M., Balfour, R., Corthaut, T., (2011) Upgrading the EU's Role as Global Actor: Institutions, Law and the Restructuring of European Diplomacy, , www.ceps.eu/ceps/download/4134, Brussels: Centre for European Policy Studies, July 2011; (2009) G20 Leaders Statement: The Pittsburgh Summit, , www.g20.utoronto.ca/2009/2009communique0925.html, G20, Pittsburgh, 25 September, July 2011; Hajnal, P.I., (2007) The G8 System and the G20: Evolution, Role, and Documentation, , Aldershot, Ashgate; Jachtenfuchs, M., Kohler-Koch, B., Governance and institutional development (2004) European Integration Theory, , In, edited by Antje Wiener and Thomas Diez. Oxford: Oxford University Press; Keohane, R.O., Global governance and democratic accountability (2003) Taming Globalization: Frontiers of Governance, , In, edited by David Held and Mathias Koenig-Archibugi. Cambridge: Polity Press; Kirton, J.J., America at the G8: From vulnerability to victory at the sea Island summit (2005) New Perspectives on Global Governance: Why America Needs the G8, pp. 31-50. , In, edited by Michele Fratianni, John J. Kirton, Alan M. Rugman, et al, Aldershot: Ashgate; Kirton, J.J., (2007) Canadian Foreign Policy in a Changing World, , Toronto, Thomson Nelson; Moravcsik, A., Europe: Rising superpower in a bipolar world (2010) Rising States, Rising Institutions: Challenges for Global Governance, , In, edited by Alan S. Alexandroff and Andrew F. Cooper. Washington DC: Brookings Institution Press; Schmitter, P.C., Neo-neofunctionalism in European integration theory (2004) European Integration Theory, , In, edited by Antje Wiener and Thomas Diez. Oxford: Oxford University Press; Scholte, J.A., Global governance, accountability, and civil society (2011) Building Global Democracy? Civil Society and Accountable Global Governance, , In, edited by Jan Aart Scholte. Cambridge: Cambridge University Press; (1992) Official Journal C 191, , eur-lex.europa.eu/en/treaties/dat/11992M/htm/11992M.html, Treaty on European Union, 29 July, July 2011"
"Larionova M.","56153880200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900071288&partnerID=40&md5=630374ffebcafaece80d724de0ca958d",
"Larionova M.","56153880200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900225610&partnerID=40&md5=b0b6a7f1851fff221ce89d1fe5e99f9e",
