;Область, Авторы,Идентификаторы авторов,Ссылка,Ключевые слова автора,Ключевые слова указателя;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Bronevich A.G., Lepskiy A.E.,""23102270900";23976011900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941737826&doi=10.1080%2f03081079.2015.1011632&partnerID=40&md5=84d813b4abf47ac8aae3aa80b48971ee"",""applicability of aggregation rules in evidence theory"; imprecision indices; lower and upper probabilities;" uncertainty-based information"",""Information systems"; Algebraic structures; Approximation problems; Evidence theories; Imprecise probabilities; imprecision indices; Lower and upper probabilities; Uncertainty measures; Uncertainty-based information;" Set theory""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Efremov S., Pilipenko N., Voskov L., Komarov M.,""35366278900";56559752800;35367655200;6603888073;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949058307&doi=10.1007%2f978-3-319-23126-6_5&partnerID=40&md5=f28e5c1d0d29fcf71b741882b90f1b60"",""Cloud IoT platforms"; Internet of Services; Internet of Things; Web 3. 0; Web of Services;" Web of Things"",""Data handling"; Data visualization; Digital storage; Information management; Internet; Middleware; Next generation networks; Web services; World Wide Web; Data storage; Internet of Services; Internet of Things (IOT); Middleware platforms; System integrators; Technological trends; Web 3. 0; Web of Services;" Internet of things""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Ignatov D.I., Mitrofanova E., Muratova A., Gizdatullin D.,""56926915100";57021862500;57021469000;57021973000;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951862458&doi=10.1007%2f978-3-319-24543-0_17&partnerID=40&md5=d9437429e40743a466209839c3086cf5"",""Decision trees"; Demographic sequences; Emergent patterns; Emergent sequences; Machine learning;" Sequence mining"",""Artificial intelligence"; Decision trees; Forestry; Knowledge engineering; Learning systems; Population statistics; Semantic Web; Data mining methods; Demographic data; Demographic sequences; Emergent patterns; Emergent sequences; Machine learning techniques; Pattern mining; Sequence mining;" Data mining""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Ponomarenko A.,""55345834600";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951747046&doi=10.1007%2f978-3-319-25087-8_30&partnerID=40&md5=2dd8533fba7b470c6b41d5924983e21f"",""Approximate search"; Nearest neighbor search;" Non-metric search"",""Algorithms"; Query processing; Approximate search; Empirical studies; Graph construction; Input parameter; Local minimums; Nearest neighbors; Non-Metric; Search Algorithms;" Nearest neighbor search""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Shitov Y.,""35148401800";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908500759&doi=10.1080%2f03081087.2013.860593&partnerID=40&md5=c26b72a8fc2febddc3ca44e23685255b"",""linear dependence"; matrix singularity;" semiring"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Ignatov D.I.,""56926915100";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951757948&doi=10.1007%2f978-3-319-25485-2_3&partnerID=40&md5=6dcf2ec1b184a43b896f44f79969ca27"",""Biclustering"; Concept lattices; Data mining; Formal Concept Analysis; Information retrieval; Knowledge discovery; Machine learning; Multimodal clustering;" Text mining"",""Artificial intelligence"; Data mining; Information analysis; Information retrieval; Knowledge representation; Lattice theory; Learning systems; Bi-clustering; Concept Lattices; Data mining and knowledge discovery; Formal concept analyses (FCA); ITS applications; Multi-modal; Object attributes; Text mining;" Formal concept analysis""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Samovol V.S.,""6506482791";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925068532&doi=10.1134%2fS1064562415010044&partnerID=40&md5=2f0d1974932bfc21864b2b0b50725251"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Shitov Y.,""35148401800";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84936120729&doi=10.1080%2f00927872.2014.946137&partnerID=40&md5=aca4f89060960367eb53562a369f4ff9"",""Boolean matrices"; Gondran–Minoux rank;" Nonnegative factorization"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Porshnev A., Redkin I., Karpov N.,""56109471800";56109245700;56337992700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951774500&doi=10.1007%2f978-3-319-25485-2_10&partnerID=40&md5=21a57f3ceaf6c0efdcb078d993e1151a"",""Behavioral finance"; DJIA; Emoticons; Mood; Neural networks; Prediction; Random forest; S&P500; Support vectors machine;" Twitter"",""Artificial intelligence"; Commerce; Decision trees; Electronic trading; Finance; Financial markets; Information retrieval; Learning systems; Neural networks; Social networking (online); Support vector machines; Behavioral finance; DJIA; Emoticons; Mood; Random forests; Support vectors machine; Twitter;" Forecasting""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Lozinskaia A.,""56902656800";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944273814&doi=10.1007%2f978-3-319-09946-0__17&partnerID=40&md5=d291426e34cd53f2046f82fa5c547e58"",""Credit risk"; Default; Mortgage;" Sample selection bias"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Starikovskaya T., Vildhøj H.W.,""24339291900";36631068900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937501532&doi=10.1007%2f978-3-319-19315-1_30&partnerID=40&md5=6da36621dbe66935682d6aeadd3f9342"",,""Algorithms"; Clustering algorithms; Combinatorial mathematics; Forestry; Internal nodes; Linear-time algorithms; Suffix link; Suffix-trees; Topological structure; Trees (mathematics); Algorithms;" Problem Solving""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Arzhantsev I., Kotenkova P.,""6603456308";48561475400;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957951169&partnerID=40&md5=5f042a008a8b866a2fe0c2f54683c992"",""Cox ring"; Demazure root; Locally nilpotent derivation;" Toric variety"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Astakhova N.N., Demidova L.A., Nikulchev E.V.,""56841378200";56406258800;6504081534;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941585166&doi=10.12988%2fams.2015.55391&partnerID=40&md5=79f3c4539c5a8eab70135ccce6e80557"",""Antibodies"; Antigens; Average forecasting error rate; Cluster centroid; Clustering; k-means algorithm; Modified clonal selection algorithm; Strictly binary tree;" Time series"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Lukinskiy V., Lukinskiy V., Merkuryev Y.,""56151945100";55822287500;6505769700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960809107&partnerID=40&md5=8862e7999988077f287b594bc684bd36"",""Reliability"; Simulation; Supply chains;" Total logistics costs"",""Chains"; Cost benefit analysis; Costs; Reliability; Supply chains; Critical analysis; Effective Functioning; Integrated supply chain; Logistics operations; Methodical approach; Reliability-based; Simulation; Total logistics costs;" Reliability analysis""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Kazachenko S.,""57195101694";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944227303&doi=10.1007%2f978-3-319-09946-0__9&partnerID=40&md5=c6ef25635459f4a0d8b50ccdde11616b"",""Asymmetric information"; Bid-ask spreads; Glosten-milgrom; Inventory risk; Market microstructure;" Price formation"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Bocharov P., Goryashko A., Nikulchev E.V.,""56841515000";6701426556;6504081534;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941588292&doi=10.12988%2fams.2015.56415&partnerID=40&md5=c8525bf03251ed23703979e29698965d"",""coalition"; Coalition; Colonel blotto game; Game theory; general lotto game; Tournament;" Tournament"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Zlotnik A., Romanova A.,""7101674545";56167257100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925289978&doi=10.1016%2fj.apnum.2014.05.003&partnerID=40&md5=933c8f18b8a8ddfbd8838a19c022034f"",""Crank-Nicolson discretization in time"; Discrete transparent boundary conditions; Error estimate; Numerov discretization in space; Practical error analysis; Richardson extrapolation; Schrödinger equation; Stability; Strang splitting; Time-dependent; Tunnel effect;" Uniqueness"",""Boundary value problems"; Convergence of numerical methods; Electron tunneling; Error analysis; Extrapolation; Finite difference method; Initial value problems; Strip metal; Dinger equation; Discrete transparent boundary conditions; Discretizations; Error estimates; Richardson extrapolation; Strang splitting; Time dependent; Uniqueness;" Boundary conditions""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Pirkovskii A.Yu.,""6507150595";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928336462&doi=10.4171%2fJNCG%2f192&partnerID=40&md5=5a729540fea8a53aed20dca228766d7d"",""Forster's theorem"; Free polydisk; Fréchet algebra; HFG algebra; Quantum polydisk; Smash product;" Stein space"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Ivanov O.U., Bartunov S.O.,""57022185600";55583130200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951871445&doi=10.1007%2f978-3-319-26123-2_19&partnerID=40&md5=1d1bb13d1455bdbd8869c2e8b675643e"",""Graph embedding"; Graph visualization; Link prediction; Representation learning;" Social network analysis"",""Forecasting"; Graphic methods; Image analysis; Learning algorithms; Social networking (online); Visualization; Computational resources; Graph embeddings; Graph visualization; Link prediction; Online learning algorithms; Representation learning; State-of-the-art methods; Vector representations;" Graph theory""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Voskresenskiy V., Sukharev K., Musabirov I., Alexandrov D.,""56543641400";56543531000;56543502400;9243817900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924366627&doi=10.1007%2f978-3-319-15168-7_7&partnerID=40&md5=9e73f00db2775384a98f455666b23b91"",""Homeowners"; Neighbors cooperation;" Online communities"",""Apartment houses"; Information science; Online systems; Statistics; Websites; Homeowners; Latent dirichlet allocations; Neighbors cooperation; On-line communication; On-line communities; On-line observations; Patterns of communication; Social networking sites;" Social networking (online)""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Podolskii V.V.,""23092161300";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950127860&doi=10.1007%2f978-3-319-20297-6_2&partnerID=40&md5=afde1935b9febf1c2d3e0e0856f42c4d"",,""Query processing"; Boolean circuit; Circuit complexity; Logical theories; Lower and upper bounds; Ontology-based data access; Query answering;" Ontology""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Kutuzov A., Kuzmenko E.,""57194718597";56878851700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942565952&doi=10.1007%2f978-3-319-18111-0_4&partnerID=40&md5=0c5f0e972c12a36fa63e174ecd54b11b"",""Corpora comparison"; Deep learning; Lexical co-occurrence networks; Russian National Corpus; Semantic similarity; Vector representations of lexical units; Web as corpus;" Word2vec"",""Computational linguistics"; Linguistics; Semantics; Text processing; Websites; Co-occurrence networks; Corpora comparison; Deep learning; Lexical unit; Russian National Corpus; Semantic similarity; Web as corpus; Word2vec;" Semantic Web""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Vassiliev V.A.,""7006638278";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926688206&doi=10.1112%2fblms%2fbdv002&partnerID=40&md5=6813d491d246a386b53aad76fa5d9495"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Agranovich M.S.,""15126914300";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938495764&partnerID=40&md5=f14088003c0ae6e21ca104dcad8564f9"",""Abel–Lidskii summability"; Completeness of root functions; Discrete spectrum; Lipschitz domain; Spectral problem;" Strongly elliptic system"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Kutuzov A.,""57194718597";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951859718&doi=10.1007%2f978-3-319-25485-2_12&partnerID=40&md5=4186c927eb70ae6316fe196880314111"",,""Information retrieval"; Semantic Web; Semantics; Co-occurrence Graph; Distributional semantics; Linguistic data; Semantic clustering; Web search results; Word sense inductions;" World Wide Web""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"De Palma G., Mari A., Giovannetti V., Holevo A.S.,""55781428900";24832078800;7004137815;6603727683;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930222002&doi=10.1063%2f1.4921265&partnerID=40&md5=ea2bb3914ca6b0c0ee38b444c6159bf0"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Zlotnik A.,""7101674545";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947093434&doi=10.1007%2f978-3-319-20239-6_12&partnerID=40&md5=828d5019f4d64212e1132487ef52ac50"",""Crank-Nicolson scheme"; Discrete transparent boundary conditions; Error estimates; Finite element method; Stability; Superconvergence; Time-dependent schrödinger equation;" Unbounded domain"",""Boundary conditions"; Boundary value problems; Convergence of numerical methods; Errors; Finite difference method; Geometry; Initial value problems; Stability; Crank-Nicolson scheme; Dinger equation; Discrete transparent boundary conditions; Error estimates; Super-convergence; Unbounded domain;" Finite element method""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Onishchenko V., Penikas H.,""56902428200";55471176500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944248548&doi=10.1007%2f978-3-319-09946-0__15&partnerID=40&md5=7f8b06643095bfc7ae0c6e89669230ec"",""Copula"; Nonlinear time series; Onparametric estimation of copula;" Structural break"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Zlotnik A., Zlotnik I.,""7101674545";14043052500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926624780&doi=10.1515%2fcmam-2015-0007&partnerID=40&md5=c25a92893424cdd4547c2d0916b7fde8"",""Cauchy Problem"; Discrete Transparent Boundary Conditions; Finite Element Method; Practical Error Analysis; Richardson Extrapolation; Stability;" Time-Dependent Schrödinger Equation"",""Boundary conditions"; Computation theory; Convergence of numerical methods; Error analysis; Extrapolation; Partial differential equations; Problem solving; Cauchy problems; Computational costs; Dinger equation; Discontinuous potentials; Discrete transparent boundary conditions; Non-smooth solutions; Numerical experiments; Richardson extrapolation;" Finite element method""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Burman Y., Lvovski S.,""15761699300";35362597800;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921715596&partnerID=40&md5=e4e5f8b859737bbb45c8c303e34f5588"",""Chisini conjecture"; Monodromy; Picard–Lefschetz theory; Plane algebraic curve;" Projection"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Petrov L.F.,""26634317000";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951023749&doi=10.1007%2f978-3-319-12307-3_51&partnerID=40&md5=22fbad3dceaf5b9df019658cd61043c4"",,""Algorithms"; Degrees of freedom (mechanics); Differential equations; Dynamical systems; Nonlinear dynamical systems; Nonlinear equations; Ordinary differential equations; Computing process; Initial conditions; Interactive computer algorithms; Non-autonomous dynamics; One and two degrees of freedoms; Operational control; Stability analysis; Strange attractors;" Computer control systems""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Esterov A., Gusev G.,""8697123200";16419882600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84918828341&doi=10.1016%2fj.jsc.2014.09.007&partnerID=40&md5=61f9b67056b943d5507e2c827dd8fd12"",""Classification"; Mixed volume; Newton polyhedra; Polynomial equations; Polynomial-time algorithm;" Search for solutions"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"van der Aalst W.M.P., Guo S., Gorissen P.,""7007153024";56529947300;55361119700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923646652&doi=10.1007%2f978-3-662-46436-6_6&partnerID=40&md5=2ccf112f8cb8cb195b416b7c0539fa04"",""Comparative process mining"; Learning analytics; Online analytical processing;" Process mining"",""Compliance control"; Data mining; Education; Education computing; Geometry; Petri nets; Automated discovery; Female students; International students; Learning analytics; On-line analytical processing; Process mining; Process Modeling; Single process;" Students""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Galkin S., Mellit A., Smirnov M.,""55567948600";55354478700;55788441100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946217342&doi=10.1093%2fimrn%2frnu205&partnerID=40&md5=c8180c54ec98213863e038bc5ccfd2c7"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Komarov M., Konovalov N., Kazantsev N.,""6603888073";56458080100;36237354600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964556651&doi=10.1109%2fDSDIS.2015.125&partnerID=40&md5=926ca7d8b6412194f0841ec9069269fb"",""Agent-based theory"; business model; Internet of Service; Internet of Things; Smart home; Social Web of Service;" Web of Service"",""Automation"; Behavioral research; Computation theory; Intelligent buildings; Internet; Internet of things; Agent based; Business modeling; Internet of Services; Smart homes; Social webs; Web of Service;" Web services""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Kazarian M.È., Lando S.K.,""56271988700";6602320062;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942055178&doi=10.1070%2fRM2015v070n03ABEH004952&partnerID=40&md5=ce45bcaf90332401e3547e2d9daacfc5"",""Boson-Fermion correspondence"; Hurwitz numbers; Integrable systems; Kadomtsev-Petviashvili hierarchy;" Toda lattice hierarchy"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Bodzenta A.,""56524415100";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923253983&doi=10.1090%2fS0002-9939-2014-12420-8&partnerID=40&md5=ed1f7aa786dfc1140cd7b61c9fba019d"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Esterov A., Takeuchi K.,""8697123200";35345867200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927642693&doi=10.1353%2fajm.2015.0014&partnerID=40&md5=27222d8a3ce3d9409dc9e0a55ae4c96e"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Zlotnik A.,""7101674545";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931858408&doi=10.3934%2fkrm.2015.8.587&partnerID=40&md5=8cd12b6f1f84f46578ab3361ffc354e3"",""Approximate transparent boundary conditions"; Crank-nicolson scheme; Error estimates; Global richardson extrapolation; Numerov scheme; Stability; Time-dependent Schrödinger equation;" Unbounded domain"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Amerik E., Verbitsky M.,""56619370700";7004282961;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950112235&doi=10.1093%2fimrn%2frnv133&partnerID=40&md5=e32c41be2653d842f1c65425c9e9ef4b"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Dynnikov I., Skripchenko A.,""6602619480";55185138800;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960081631&doi=10.1090%2fmosc%2f246&partnerID=40&md5=c1a923b2fdc47c9b7e9887a7e08052ed"",""Band complex"; Ergodicity; Measured foliation; Rauzy induction;" Rips machine"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Van Der Aalst W.M.P., Kalenkova A., Rubin V., Verbeek E.,""7007153024";36600541900;14016543900;7006780913;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937468868&doi=10.1007%2f978-3-319-19488-2_15&partnerID=40&md5=e5d12b40bc792fa5ef6668f1a69e3747"",,""Data mining"; Economic and social effects; Iterative methods; Maximum principle; Expectation - maximizations; Generic process; Localized events; Location information; Process Discovery; Process mining; Process Modeling; Software systems;" Petri nets""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Leonov G.A., Alexeeva T.A.,""7006784740";56698876700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925053376&doi=10.1134%2fS1064562415010020&partnerID=40&md5=cdf98d08ba9a1d51099bf3c33d8d530c"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Belomestny D., Panov V.,""15069577900";55362066800;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941127515&doi=10.1214%2f15-EJS1063&partnerID=40&md5=59f765e928ad6acadbf4bfad9be67386"",""Exponential functional"; Generalized Ornstein-Uhlenbeck process; Lévy process;" Mellin transform"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Ozhegov E.,""55880875200";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944251986&doi=10.1007%2f978-3-319-09946-0__16&partnerID=40&md5=b7b8d53830f6bd48b9480e619c86cce4"",""Demand for loans"; Endogeneity;" Sample selection"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Karasev M.,""7004372754";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924353874&doi=10.1134%2fS1061920815010045&partnerID=40&md5=b39a32f6768f3faf831e5e6d8600d900"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Karminsky A.,""37053822300";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944261568&doi=10.1007%2f978-3-319-09946-0__8&partnerID=40&md5=e91fded3820fe610675724465e917406"",""Econometric model"; Mapping; Rating; Rating scale;" Risk management"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Osipov D.,""24481886700";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945933731&doi=10.1007%2f978-3-319-23440-3_8&partnerID=40&md5=368151b3f5b22541a6c0de484a1bd601"",""Capacity"; Multiuser interference; Order statistics;" Single user receiver"",""Artificial intelligence"; Computers; Capacity; Multi-user interference; Multiple access systems; Order statistics; Single users;" Channel capacity""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Popov V.L.,""13605069500";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957803255&doi=10.2140%2fpjm.2015.279.423&partnerID=40&md5=d4b8c86915b87eeb7d58cc4e60df633d"",""Borel subgroup"; Module; Orbit; Reductive algebraic group;" Weight"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Lyashevskaya O., Kashkin E.,""37090988800";56292369600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951871065&doi=10.1007%2f978-3-319-26123-2_34&partnerID=40&md5=b679f6cba8120e4afdf0f7b55d3631f0"",""Construction Grammar"; Corpus linguistics; Frames; Morphosyntax; Polysemy; Russian;" Semantic roles"",""Semantics"; Construction grammar; Corpus linguistics; Frames; Morphosyntax; Polysemy; Russian; Semantic roles;" Image analysis""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Pospelov I.G., Radionov S.A.,""6603057053";56748128600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938352389&doi=10.12988%2fams.2015.54353&partnerID=40&md5=fd48523332ab3e57fd25eb3ee0a94b33"",""Optimal dividend policy";" Stochastic control"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Burov A.A., Kosenko I.I.,""14120866400";6602748639;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924086437&doi=10.1016%2fj.ijnonlinmec.2015.01.011&partnerID=40&md5=15eb6112fc13e9741e3b4866a56318ca"",""Dumb-bell of a variable length"; Keplerian orbit; Necessary conditions of stability; Newtonian attraction; Orbital dynamics;" Relative equilibria"",""Astronomy"; Keplerian orbits; Newtonians; Orbital dynamics; Relative equilibria; Variable length;" Bells""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
